study_id,title,action,decision,reference
B38,Accelerated Diagnostic Protocols Using High-Sensitivity Troponin Assays to Rule In or Rule Out Myocardial Infarction in the Emergency Department: A Systematic Review,Title and abstract,Not included.,
B39,PRESS peer review of electronic search strategies: 2015 guideline statement,Title and abstract,Not included.,
B40,Cognitive stimulation to improve cognitive functioning in people with dementia,Title and abstract,Not included.,
B41,Scaling instruction-finetuned language models,Title and abstract,Not included.,
B42,BioBART: pretraining and evaluation of a biomedical generative language model,Title and abstract,Not included.,
B43,Mistral 7B,Title and abstract,Not included.,
B44,HuggingFace's Transformers: state-of-the-art natural language processing,Title and abstract,Not included.,
B45,Parameter-Efficient Fine-Tuning Library (PEFT),Title and abstract,Not included.,
B46,LoRA: low-rank adaptation of large language models,Title and abstract,Not included.,
B47,Adafactor: adaptive learning rates with sublinear memory cost,Title and abstract,Not included.,
B48,Anvil [software],Not read,"Not included, it is a tool",
B49,Using the framework method for the analysis of qualitative data in multidisciplinary health research,Title and abstract,Not included.,
B50,Best match: new relevance search for PubMed,Title and abstract,Not included.,
B51,Large scale empirical evaluation of machine learning for semi-automating citation screening in systematic reviews,Title and abstract,Not included.,
F01,Large Language Models in der systematischen Literaturrecherche – eine Evidenzübersicht.,Title and abstract,Not included. It is not in english or portuguese,
F02,Assessing the Feasibility and Acceptability of a Bespoke Large Language Model Pipeline to Extract Data From Different Study Designs for Public Health Evidence Reviews.,Full Read,"Included in related work, but excluded from the QSM",14
F03,Comparing Five Generative AI Chatbots' Answers to LLM-Generated Clinical Questions with Medical Information Scientists' Evidence Summaries.,Title and abstract,Not included.,
F04,Leveraging AI for Meta-Analysis: Evaluating LLMs in Detecting Publication Bias for Next-Generation Evidence Synthesis.,Title and abstract,Not included.,
F05,A foundation model for human-AI collaboration in medical literature mining.,Full Read,Included,19
F06,Accelerating clinical evidence synthesis with large language models.,Full Read,Included,18
F07,Automated analyses of risk of bias and critical appraisal of systematic reviews (ROBIS and AMSTAR 2): a comparison of the performance of 4 large language models,Title and abstract,Not included.,
F08,The pediatric surgeon's AI toolbox: how large language models like ChatGPT are simplifying practice and expanding global access,Title and abstract,Not included.,
F09,Responsible use of AI in Evidence Synthesis (RAISE 2026) 2: building and evaluating AI evidence synthesis tools,Title and abstract,Not included.,
F10,Accelerating systematic reviews with large language models: Current practices and recommendations,Full Read,"Included in related work, but excluded from the QSM",7
F11,Use of Small-Molecule Inhibitors of CILK1 and AURKA as Cilia-Promoting Drugs to Decelerate Medulloblastoma Cell Replication,Title and abstract,Not included.,
F12,"Artificial Intelligence in Systematic Reviews: Overcoming Reproducibility, Bias and Validation Challenges",Full Read,Not included.,
F13,Strategies for identifying and using diverse global health data: perspectives from data searching and meta-analyses on antimicrobial resistance,Title and abstract,Not included.,
F14,LLMs in Research Methodology: Opportunities and Challenges,Full Read,"Included in related work, but excluded from the QSM",8
F15,Interpretable and Robust Dialogue State Tracking via Natural Language Summarization with LLMs,Title and abstract,Not included.,14
F16,Large language model enhanced framework for systematic reviews and meta-analyses,Full Read,Included,
F17,Responsible Integration of Artificial Intelligence in Rapid Reviews: A Position Statement From the Cochrane Rapid Reviews Methods Group,Full Read,"Included in related work, but excluded from the QSM",6
F18,Sensitivity and Precision of Search Strategies Built Using a Text‐Mining Word Frequency Tool (PubReMiner) Compared to Current Best Practice for Building Search Strategies: A Study Within a Review (SWAR),Title and abstract,Not included.,
F19,Automation Assistance for Systematic Reviewers,Title and abstract,Not included. It is not available,
F20,护理科研中应用大语言模型的伦理风险 与应对策略.,Title and abstract,Not included. It is not in english or portuguese,
F21,Quality Evaluation of Generative AI–Based Search Strategies in Systematic Reviews and Comparison of Search Performance with Human Expert (Medical Librarian),Title and abstract,Not included. It is not available,
F22,Responsible use of AI in Evidence Synthesis (RAISE 2026) 3: selecting and using AI evidence synthesis tools,Title and abstract,Not included.,
F23,"Deep learning methods for clinical trial design, execution, and analysis",Title and abstract,Not included.,
F24,Data Extraction by Generative Artificial Intelligence: Assessing Determinants of Accuracy Using Human-Extracted Data From Systematic Review Databases,Title and abstract,Not included.,
F25,Evaluating the AI Tool “Elicit” as a Semi-Automated Second Reviewer for Data Extraction in Systematic Reviews: A Proof-of-Concept,Title and abstract,Not included.,
F26,From Tea Leaves to System Maps: A Survey and Framework on Context-Aware Machine Learning Monitoring ,Title and abstract,Not included.,
F27,"AIDME: A Scalable, Interpretable Framework for AI-Aided Scoping Reviews ACM Reference Format",Title and abstract,Not included.,
F28,Automated Data Extraction by Large Language Models: Assessing Accuracy in Comparison to Human Experts Using the Example of Visible Learning,Title and abstract,Not included.,
